Date,Matchday,Home Team,Away Team
08/24/2024 - 08/25/2024,1,RB Leipzig,VfL Bochum 1848
08/30/2024 - 09/01/2024,2,VfL Bochum 1848,Borussia Mönchengladbach
09/13/2024 - 09/15/2024,3,Sport-Club Freiburg,VfL Bochum 1848
09/20/2024 - 09/22/2024,4,VfL Bochum 1848,Holstein Kiel
09/27/2024 - 09/29/2024,5,Borussia Dortmund,VfL Bochum 1848
10/04/2024 - 10/06/2024,6,VfL Bochum 1848,VfL Wolfsburg
10/18/2024 - 10/20/2024,7,TSG Hoffenheim,VfL Bochum 1848
10/25/2024 - 10/27/2024,8,VfL Bochum 1848,FC Bayern München
11/01/2024 - 11/03/2024,9,Eintracht Frankfurt,VfL Bochum 1848
11/08/2024 - 11/10/2024,10,VfL Bochum 1848,Bayer 04 Leverkusen
11/22/2024 - 11/24/2024,11,VfB Stuttgart,VfL Bochum 1848
11/29/2024 - 12/01/2024,12,FC Augsburg,VfL Bochum 1848
12/06/2024 - 12/08/2024,13,VfL Bochum 1848,SV Werder Bremen
12/13/2024 - 12/15/2024,14,1. FC Union Berlin,VfL Bochum 1848
12/20/2024 - 12/22/2024,15,VfL Bochum 1848,1. FC Heidenheim 1846
01/10/2025 - 01/12/2025,16,1. FSV Mainz 05,VfL Bochum 1848
01/14/2025 - 01/15/2025,17,VfL Bochum 1848,FC St. Pauli
01/17/2025 - 01/19/2025,18,VfL Bochum 1848,RB Leipzig
01/24/2025 - 01/26/2025,19,Borussia Mönchengladbach,VfL Bochum 1848
01/31/2025 - 02/02/2025,20,VfL Bochum 1848,Sport-Club Freiburg
02/07/2025 - 02/09/2025,21,Holstein Kiel,VfL Bochum 1848
02/14/2025 - 02/16/2025,22,VfL Bochum 1848,Borussia Dortmund
02/21/2025 - 02/23/2025,23,VfL Wolfsburg,VfL Bochum 1848
02/28/2025 - 03/02/2025,24,VfL Bochum 1848,TSG Hoffenheim
03/07/2025 - 03/09/2025,25,FC Bayern München,VfL Bochum 1848
03/14/2025 - 03/16/2025,26,VfL Bochum 1848,Eintracht Frankfurt
03/28/2025 - 03/30/2025,27,Bayer 04 Leverkusen,VfL Bochum 1848
04/04/2025 - 04/06/2025,28,VfL Bochum 1848,VfB Stuttgart
04/11/2025 - 04/13/2025,29,VfL Bochum 1848,FC Augsburg
04/19/2025 - 04/20/2025,30,SV Werder Bremen,VfL Bochum 1848
04/25/2025 - 04/27/2025,31,VfL Bochum 1848,1. FC Union Berlin
05/02/2025 - 05/04/2025,32,1. FC Heidenheim 1846,VfL Bochum 1848
05/09/2025 - 05/11/2025,33,VfL Bochum 1848,1. FSV Mainz 05
05/17/2025,34,FC St. Pauli,VfL Bochum 1848
