Home Team,Away Team,Predicted_Home_xG,Predicted_Away_xG,Home_Win_Probability,Tie_Probability,Away_Win_Probability
Wolfsburg,Bayern Munich,1.0606,1.4106,28.63,26.29,45.08
Bayern Munich,Freiburg,1.64,1.1747,48.06,24.45,27.49
Holstein Kiel,Bayern Munich,1.1005,1.8121,23.75,22.61,53.64
Werder Bremen,Bayern Munich,1.8763,1.2965,50.88,22.52,26.6
Bayern Munich,Bayer Leverkusen,1.3666,2.0825,24.62,21.53,53.85
Eintracht Frankfurt,Bayern Munich,1.772,1.5798,42.86,23.19,33.95
Bayern Munich,Stuttgart,1.4561,1.5955,34.94,24.15,40.91
Bochum,Bayern Munich,1.8855,1.7328,41.48,23.0,35.52
Bayern Munich,Union Berlin,2.0502,1.2675,55.98,20.47,23.55
St. Pauli,Bayern Munich,2.2347,1.6047,52.26,20.24,27.5
Bayern Munich,Augsburg,2.2099,0.9921,65.27,18.92,15.81
Dortmund,Bayern Munich,2.0123,1.4736,49.41,21.59,29.0
Bayern Munich,Heidenheim,1.5638,0.8824,54.13,25.18,20.69
Mainz 05,Bayern Munich,1.7433,1.3095,47.86,23.18,28.96
Bayern Munich,RB Leipzig,1.542,1.4419,39.65,24.44,35.91
Mönchengladbach,Bayern Munich,1.3545,1.5983,32.5,24.3,43.2
Bayern Munich,Hoffenheim,1.7248,1.6776,39.17,23.34,37.49
Bayern Munich,Wolfsburg,1.6233,0.7802,57.1,24.9,18.0
Freiburg,Bayern Munich,1.5886,1.465,40.93,23.64,35.43
Bayern Munich,Holstein Kiel,2.1993,0.7234,70.78,18.19,11.03
Bayern Munich,Werder Bremen,1.4313,1.5837,34.99,23.49,41.52
Bayer Leverkusen,Bayern Munich,2.3998,1.2421,63.11,18.28,18.61
Bayern Munich,Eintracht Frankfurt,1.9061,1.3931,49.33,22.87,27.8
Stuttgart,Bayern Munich,1.9254,1.3056,51.04,22.38,26.58
Bayern Munich,Bochum,2.1594,1.486,53.25,20.72,26.03
Union Berlin,Bayern Munich,1.6352,1.6505,38.48,23.31,38.21
Bayern Munich,St. Pauli,1.7267,1.7957,37.32,21.46,41.22
Augsburg,Bayern Munich,1.4368,1.7673,31.58,23.67,44.75
Bayern Munich,Dortmund,1.6884,1.6855,38.05,23.01,38.94
Heidenheim,Bayern Munich,1.1841,1.3378,32.63,27.3,40.07
Bayern Munich,Mainz 05,1.4183,1.4133,37.78,24.85,37.37
RB Leipzig,Bayern Munich,1.7674,1.3617,46.25,23.58,30.17
Bayern Munich,Mönchengladbach,1.9788,0.979,60.78,21.22,18.0
Hoffenheim,Bayern Munich,1.9982,1.2857,54.23,21.02,24.75
